CW,H or P,Response Total,Most Dominant Definition,% Most Dominant,Second Most Dominant Definition,% Second Most Dominant,%  Two Most Dominant ,Dominance Score,Post-Norming H or P,Notes
BEANS,P,189,"an edible seed, typically kidney-shaped, growing in long pods on certain leguminous plants.",0.91,plant that bears beans in pods.,0.09,1.00,0.90,,
BEATLES,P,93,rock 'n' roll singing group from Liverpool,0.45,music of the Beatles,0.44,0.90,0.03,,
BEETHOVEN,P,96,music of Beethoven,0.71,German composer,0.25,0.96,0.64,,
BEETLE,H,190,insect,0.62,band,0.21,0.83,0.66,?,Other WS definitions obscure. Volkswagen definition is not listed; Beatles band is not spelled this way
BEING,P,92,"a real or imaginary living creature,",0.54,existence,0.46,1.00,0.14,,
BID,P,94,"an offer of a price, especially at an auction.",0.83,an attempt to obtain or do something,0.17,1.00,0.80,,
BILL,H,188,a banknote; a piece of paper money.,0.33,a boy's name,0.24,0.56,0.28,,
BITTERNESS,P,93,sharpness of taste; lack of sweetness.,0.63,anger and disappointment at being treated unfairly; resentment.,0.37,1.00,0.40,,
BLADE,P,189,"the flat cutting edge of a knife, saw, or other tool or weapon.",0.91,"a long, narrow leaf of grass ",0.07,0.98,0.92,,
BLOCK,P,96,any of a set of solid cubes used as a child's toy.,0.36,put an obstacle in the way of,0.34,0.70,0.04,,
BLUFF,H,186,an attempt to deceive someone,0.76,"a steep cliff, bank,",0.24,1.00,0.68,,
BOARD,P,96,"a surface on which to cut things, play games, or perform other activities.",0.59,"the piece of equipment on which a person stands in surfing, skateboarding, snowboarding",0.26,0.84,0.56,,
BOIL,H,93,the temperature at which a liquid bubbles and turns to vapor.,0.96,"an inflamed pus-filled swelling on the skin, typically caused by the infection of a hair follicle.",0.04,1.00,0.96,,
BOLT,H,93,flash of lightning,0.37,Disney dog,0.28,0.64,0.24,P?,2nd WS Homonym def is obscure (sift) and dog/Usain definitions are not in dictionary
BOND,P,96,joined,0.59,James,0.34,0.93,0.42,H,James Bond not in WS dictionary
BONE,P,93,"hard, whitish tissue making up the skeleton (IN A LIVING BODY)",0.69,OUT OF A LIVING BODY,0.31,1.00,0.56,,
BOOK,P,93,the story the book conveys,0.57,printed work consisting of pages glued or sewn together along one side and bound in covers.,0.43,1.00,0.23,,
BORDER,P,96,"a line separating two political or geographical areas,",0.78,"the edge or boundary of something, ",0.22,1.00,0.72,,
BORE,H,93,make (someone) feel weary and uninterested by tedious talk or dullness.,0.89,make (a hole),0.11,1.00,0.88,,
BOTTLE,P,96,"a container, typically made of glass or plastic",0.56,the contents of a bottle.,0.44,1.00,0.20,,
BOTTOM,P,95,the lowest point or part.,0.86,the buttocks.,0.14,1.00,0.84,,
BOW,H,96,"a knot tied with two loops and two loose ends, used especially for tying shoelaces and decorative ribbons.",0.35,"a weapon for shooting arrows, t",0.33,0.68,0.05,,
BOWLER,H,89,"a player at tenpin bowling, lawn bowling",0.82,hard felt hat,0.18,1.00,0.78,,
BOXER,H,96,"a person who takes part in boxing, especially as a sport.",0.79,medium-sized dog ,0.13,0.91,0.84,P,2nd WS Homonym def is obscure (Chinese secret society); dog def listed as polyseme
BRASS,P,186,yellow alloy of copper and zinc.,0.55,"brass wind instruments (including trumpet, horn, trombone) ",0.45,1.00,0.19,,
BREAK,P,96,a pause in work or during an activity or event.,0.51,an instance of breaking; the point where something is broken.,0.49,1.00,0.04,,
BRIDGE,H,92,structure that extends,0.99,card game,0.01,1.00,0.99,,
BRIEFCASE,P,96,"flat, rectangular container, typically made of leather, for carrying books and papers.",0.73,contents of the briefcase,0.27,1.00,0.64,,
BUCKET,P,93,contents of the bucket,0.56,cylindrical open container,0.44,1.00,0.22,,
BUD,H,93,"growth on a plant that develops into a leaf, flower, or shoot.",0.59,beer,0.26,0.86,0.56,,
BUG,P,93,a small insect.,0.88,annoy or bother (someone).,0.12,1.00,0.86,,
BULB,P,94,a light bulb.,0.82,of a plant/flower,0.18,1.00,0.78,,
BUREAU,P,94,office or department for transacting particular business.,0.98,a chest of drawers.,0.02,1.00,0.98,,
BUSINESS,P,96,"a person's regular occupation, profession, or trade.",0.90,the practice of making one's living by engaging in commerce.,0.10,1.00,0.89,,
BUTT,H,95,rear end,0.97,cigarette,0.03,1.00,0.97,,
CABBAGE,P,96,"leaves of a head of cabbage, eaten as a vegetable.",0.66,cultivated plant,0.34,1.00,0.48,,
CABINET,P,93,a cupboard with drawers or shelves ,0.77,"body of advisers to the president, ",0.23,1.00,0.69,,
CAGE,P,96,space inside the cage,0.76,a structure of bars or wires,0.15,0.91,0.80,,
CALF,H,96,a young cow,0.60,back of a person's leg below the knee.,0.40,1.00,0.33,,
CALL,P,96,speaking to someone on the phone,0.87,a cry made as a summons or to attract someone's attention.,0.13,1.00,0.85,,
CANE,P,95,"walking stick,",0.41,candy cane,0.41,0.82,0.01,,
CANVAS,P,89,cloth for an oil painting.,0.91,coarse unbleached cloth,0.09,1.00,0.90,,
CAP,H,95,"soft, flat hat ",0.71,"protective lid or cover for an object such as a bottle,",0.24,0.95,0.66,,
CAPE,H,92,"sleeveless cloak, ",0.72,a headland or promontory.,0.19,0.91,0.74,,
CARD,H,96,a playing card.,0.69,greeting card,0.21,0.90,0.69,P,2nd WS Homonym def is obscure (wool)
CARDINAL,P,96,songbird ,0.70,dignitary of the Roman Catholic Church.,0.21,0.91,0.69,,
CARROTS,P,96,eaten as a vegetable.,0.85,plant,0.15,1.00,0.82,,
CARTON,P,93,contents of a carton,0.55,a light box or container,0.45,1.00,0.20,,
CASE,H,188,a container designed to hold or protect something,0.47,"a legal action, especially one to be decided in a court of law.",0.31,0.78,0.35,,
CASSEROLE,P,93,a kind of stew or side dish that is cooked slowly in an oven.,0.83,"a large covered dish, typically of earthenware or glass, used for cooking casseroles.",0.18,1.00,0.79,,
CAST,P,95,"the actors taking part in a play, movie, or other production.",0.64,"bandage stiffened with plaster of Paris, molded to the shape of a limb that is broken,",0.36,1.00,0.43,,
CAULDRON,P,94,a large metal pot with a lid and handle,0.74,contents of a cauldron,0.26,1.00,0.65,,
CEDAR,P,91,tree,0.70,timber or wood from cedar tree,0.30,1.00,0.58,,
CELL,P,93,biology,0.34,phone,0.33,0.67,0.02,,
CHAIN,P,93,connected flexible series of metal links,0.76,"successive reaction (e.g., chemistry, email)",0.24,1.00,0.69,,
CHALLENGE,p,96,a task or situation that tests someone's abilities.,0.71,"a call to take part in a contest or competition, especially a duel.",0.29,1.00,0.58,,
CHANGE,P,93,the act or instance of making or becoming different.,0.76,coins,0.24,1.00,0.69,,
CHARACTER,P,94,"a person in a novel, play, or movie.",0.74,the mental and moral qualities distinctive to an individual.,0.26,1.00,0.66,,
CHARITY,P,189,"the voluntary giving of help, typically in the form of money, to those in need.",0.85,an organization set up to provide help and raise money for those in need.,0.15,1.00,0.83,,
CHARM,P,95,"appeal, charisma",0.40,a small ornament worn on a necklace or bracelet.,0.31,0.71,0.23,,
CHECK,P,96,a written order to a bank to pay a stated sum from the drawer's account.,0.73,"examine (something) in order to determine its accuracy, quality, or condition, or",0.27,1.00,0.63,,
CHERRY,P,93,"a small, round stone fruit that is typically bright or dark red.",0.78,the tree that bears the cherry.,0.22,1.00,0.71,,
CHEST,P,189,the front surface of a person's or animal's body,0.75,"a large strong box,",0.25,1.00,0.67,,
CHESTNUT,P,94,a glossy brown nut that may be roasted and eaten.,0.94,deep reddish-brown color.,0.06,1.00,0.93,,
CHEVY,*,92,car,0.90,car manufacturer/company,0.10,1.00,0.88,P,Car brand name is not listed in WS dictionary
CHICKEN,P,94,meat from a chicken.,0.78,a domestic fowl,0.22,1.00,0.72,,
CHIMNEY,P,96,the space inside a chimney,0.81,a vertical channel or pipe that conducts smoke ,0.19,1.00,0.76,,
CHINA,H,92,the country,0.91,household tableware,0.09,1.00,0.90,,
CHINESE,P,189,language,0.68,food,0.32,1.00,0.52,,
CHIP,H,93,"a thin slice of food made crisp by being fried, baked, or dried and typically eaten as a snack.",0.78,short for microchip.,0.22,1.00,0.71,P,2nd WS Homonym def is obscure (chirp)
CHOCOLATE,P,95,"a food preparation in the form of a paste or solid block made from roasted and ground cacao seeds, typically sweetened.",0.92,a deep brown color.,0.08,1.00,0.91,,
CHOP,H,96,cut (something) into small pieces ,0.76,"a downward cutting blow or movement, typically with the hand.",0.14,0.90,0.81,,
CHURCH,P,95,"a particular Christian organization,",0.71,a building used for public Christian worship.,0.29,1.00,0.59,,
CINEMA,P,96,a movie theater.,0.81,the production of movies,0.19,1.00,0.77,,
CIRCLE,P,96,a round plane figure,0.88,"a group of people with shared professions, interests, or acquaintances.",0.13,1.00,0.86,,
CIRCUIT,P,95,path around which a circulating electric current can flow.,0.86,a series of athletic exercises,0.14,1.00,0.84,,
CLASH,P,96,a violent confrontation.,0.73,a loud jarring sound,0.27,1.00,0.63,,
CLASP,P,91,grasp (something) tightly with one's hand.,0.55,a device with interlocking parts used for fastening things together.,0.45,1.00,0.18,,
CLINK,P,93,"a sharp ringing sound,",0.98,slang jail,0.03,1.00,0.97,,
CLOG,P,95,block or become blocked ,0.62,a shoe with a thick wooden sole.,0.38,1.00,0.40,,
CLOSE,P,96,move or cause to move so as to cover an opening.,0.57,nearby,0.43,1.00,0.25,,
CLUB,P,96,an association or organization,0.55,nightclub,0.38,0.92,0.31,,
COACH,P,191,an athletic instructor or trainer.,0.76,purse,0.24,1.00,0.68,,
COAT,P,96,an outer garment worn outdoors,0.91,a covering of paint ,0.09,1.00,0.90,,
COFFEE,P,96,a drink ,0.96,pale brown color ,0.04,1.00,0.96,,
COLD,P,96,low or relatively low temperature,0.80,a common viral infection ,0.20,1.00,0.75,,
COLON,H,189,part of the large intestine,0.74,punctuation mark ,0.26,1.00,0.64,,
COLUMN,P,96,vertical division of a page or text.,0.54,"upright pillar, ",0.46,1.00,0.16,,
COMMERCIAL,P,93,a television or radio advertisement.,0.83,making or intended to make a profit.,0.17,1.00,0.80,,
COMPANY,P,95,a commercial business.,0.83,companionship,0.17,1.00,0.79,,
CONDITION,P,95,"the state of something, ",0.78,apply something to (the skin or hair) to give it a healthy or attractive look or feel.,0.22,1.00,0.72,,
COPPER,P,96,reddish metallic element,0.82,reddish-brown color,0.18,1.00,0.79,,
CORAL,P,186,skeleton of certain of sea animals,0.74,deep-pink to yellowish-pink color,0.26,1.00,0.64,,
CORE,P,96,"series of muscles, extending far beyond your abs",0.39,"central part of certain fleshy fruits, such as the apple or pear",0.36,0.75,0.09,,
CORN,H,95,edible vegetable,0.58,"plant that yields large grains, or kernels, set in rows on a cob.",0.42,1.00,0.29,P,Homonym (foot) meaning not supplied in norming--only polyseme
CORRESPONDENT,P,92,person who communicates by letter or by letters,0.63,"person employed by a newspaper, etc., to report ",0.37,1.00,0.41,,
COTTON,P,96,soft white downy fiber of cotton plant,0.66,fabric,0.34,1.00,0.49,,
COUNT,H,96,to add up or check,0.70,a nobleman,0.30,1.00,0.57,,
COUNTER,H,93,horizontal surface,0.70,to say or do (something) in retaliation or response,0.30,1.00,0.56,,
COUNTRY,P,96,"nation, territory distinguished by its people, culture, language, geography, etc.",0.77,short for country music,0.20,0.98,0.74,,
COURT,P,96,"tribunal presided over by a judge, judges, ",0.73,"a quadrangular area, either open or covered, marked out for ball games such as tennis or basketball.",0.27,1.00,0.63,,
COVER,P,94," anything that covers, spreads over, protects, or conceals",0.80,blanket/bedspread,0.20,1.00,0.75,,
CRAFT,P,96,an activity involving skill in making things by hand.,0.99,a boat or ship.,0.01,1.00,0.99,,
CRANE,P,92,"tall, long-legged, long-necked bird,",0.59,"a large, tall machine used for moving heavy objects",0.41,1.00,0.31,,
CRICKET,H,96,an insect related to the grasshoppers. ,0.73,"game played on a large grass field with ball, bats,",0.27,1.00,0.64,,
CROCODILE,P,190,predatory semiaquatic reptile ,0.90,leather made from the skin of crocodile,0.10,1.00,0.89,,
CRUST,P,95,"baked shell of a pie, tart, etc.",0.88,"outer shell of the earth, ",0.12,1.00,0.87,,
CUE,H,95,a signal or reminder to do something,0.77,"billiards, snooker a long tapered shaft with a leather tip, used to drive the balls",0.23,1.00,0.70,,
CULT,P,184,specific system of religious worship,0.91,something regarded as fashionable,0.09,1.00,0.90,,
CUP,P,95,contents of a cup container,0.64,small open container,0.36,1.00,0.45,,
CURSE,P,95,"an appeal to a supernatural power for harm to come to a specific person, group, etc.",0.62,"swear, obscene expression ",0.38,1.00,0.38,,
CYCLE,P,96,"short for bicycle, tricycle, motorcycle",0.55,events repeating themselves in a regular sequence,0.45,1.00,0.18,,
DANISH,P,93,pastry,0.63,"characteristic of Denmark, its people, or their language",0.37,1.00,0.42,,
DATE,H,96,"an appointment for a particular time, esp. with a person to whom one is sexually or romantically attached",0.51,specified day of the month,0.36,0.87,0.31,,
DEAL,H,94,"bargain, transaction, or agreement",0.74,process of distributing the cards,0.26,1.00,0.64,P,2nd WS Homonym def is obscure (planks)
DECK,P,96,nautical any of various platforms built into a vessel,0.68,pack of playing cards,0.22,0.90,0.67,,
DEED,P,93,something that is done or performed; act,0.56,legal document ,0.44,1.00,0.21,,
DEGREE,P,96,academic award conferred by a university or college,0.63,stage in a scale of relative amount or intensity,0.37,1.00,0.42,,
DESIGN,P,96,art of planning and making detailed drawings of something,0.67,finished artistic or decorative creation,0.33,1.00,0.50,,
DEVELOPMENT,P,95,"act or process of growing, progressing, or developing",0.80,"a fact, event, or happening, esp. one that changes a situation",0.17,0.97,0.79,,
DIAMOND,P,93,gemstone,0.92,geometry: figure having four sides of equal length forming two acute angles and two obtuse angles; rhombus,0.08,1.00,0.91,,
DIET,H,92,"a specific allowance or selection of food, esp. prescribed to control weight ",0.63,the food and drink that a person or animal regularly consumes,0.38,1.00,0.40,P,2nd WS Homonym def is obscure (legislative body)
DIFFERENCE,P,187,a significant change in a situation,0.69,result of the subtraction ,0.31,1.00,0.54,,
DIGEST,P,93,to subject (food) to a process of digestion,0.84,"a magazine, periodical, etc., ",0.16,1.00,0.82,,
DIP,P,96,thick creamy sauce,0.69,a brief swim in water,0.31,1.00,0.54,,
DIRT,P,93,"any unclean substance, such as mud, dust,",0.96,gossip; scandalous information,0.04,1.00,0.96,,
DISCHARGE,P,93,dismissal or release,0.42,pouring forth of a fluid; emission,0.32,0.75,0.25,,
DISH,P,96,container used for holding or serving,0.83,the food that is served or contained in a dish,0.17,1.00,0.80,,
DIVISION,P,96,"a mathematical operation,",0.42,the act of dividing or state of being divided,0.29,0.71,0.30,,
DOLL,P,189,"model or dummy of a human being, used as a toy",0.81,a pretty girl or woman ,0.19,1.00,0.77,,
DOOR,P,96,a hinged or sliding panel for closing the entrance,0.57,a doorway or entrance to a room or building,0.43,1.00,0.26,,
DOUGH,P,93,thick mixture of flour or meal and water or milk,0.88,a slang word for money,0.12,1.00,0.86,,
DRAFT,P,93,a preliminary version of a piece of writing.,0.51,selection for compulsory military service (or team),0.23,0.75,0.55,,
DRAG,P,94,"pull (someone or something) along forcefully, roughly, or with difficulty.",0.50,women's clothes worn by a man,0.32,0.82,0.35,,
DRAPE,P,93,long curtains,0.65,arrange (cloth or clothing) ,0.35,1.00,0.46,,
DRILL,H,189,"a hand tool,",0.60,"routine exercise or activity, in which people practice what they should do in dangerous situation",0.40,1.00,0.33,P,"Other WS Homonym defs obscure (furrow, fabric)"
DRINK,P,94, liquid suitable for drinking; any beverage,0.71,alcoholic drink ,0.29,1.00,0.59,,
DROP,P,95,fall vertically,0.58,small quantity of liquid that forms or falls ,0.28,0.86,0.52,,
DRUMSTICK,P,96,stick used for playing a drum,0.44,lower joint of the leg of a cooked fowl,0.34,0.78,0.23,,
EARTH,P,93,third planet from the sun,0.79,land; ground,0.21,1.00,0.73,,
EGGS,H,96,egg of the domestic hen used as food,0.79,"the oval  reproductive body laid by the females of birds and some other animals, with outer shell or membrane",0.21,1.00,0.73,P,Homonym meaning (encourage) not supplied in norming--only polyseme
ELBOW,P,95,joint between the upper arm and the forearm,1.00,part of a garment that covers the elbow,0.00,1.00,1.00,,
ELVIS,*,93,singer,0.72,rock n roll music,0.28,1.00,0.60,P,Not listed in WS dictionary
EMERALD,P,96,a gem,0.70,green color ,0.30,1.00,0.57,,
ENGINEER,P,96,person trained in any branch of the profession of engineering,1.00,driver of a railway locomotive,0.00,1.00,1.00,,
EXHAUST,P,95,gases ejected from an engine ,0.59,drain the energy of; tire out,0.41,1.00,0.31,,
FAIR,H,93,"travelling entertainment with sideshows, rides, etc., ",0.55,just; impartial,0.45,1.00,0.18,,
FALL,P,92,autumn,0.84,descend by the force of gravity from a higher to a lower place,0.16,1.00,0.81,,
FAN,H,93,device for creating a current of air,0.75,an ardent admirer,0.25,1.00,0.67,,
FAT,P,92,"corpulence, obesity, or plumpness",0.74,vegetable or animal tissue containing fat,0.26,1.00,0.64,,
FAULT,P,93, responsibility for a mistake or misdeed,0.55,fracture in the earth's crust ,0.45,1.00,0.19,,
FEELING,P,95,emotional or moral sensitivity,0.88,the sense of touch,0.12,1.00,0.86,,
FELLOW,P,95,"associate, friend",0.78,a man or boy,0.22,1.00,0.72,,
FENCING,P,95,sport of fighting with swords,0.86,"wire, stakes, etc., used as fences",0.14,1.00,0.84,,"""fence"" was search term"
FIELD,P,96,"a limited or marked off area, usually of mown grass, on which any of various sports, ",0.58,open tract of uncultivated grassland,0.30,0.88,0.47,,
FILE,H,190,"a folder, box, etc., used to keep documents",0.72,computerized collection of information,0.20,0.92,0.71,,
FILLING,P,95,"substance or thing used to fill a space or container, e.g., pastry",0.67,substance filling a cavity of a tooth,0.33,1.00,0.50,,
FILM,P,192,movie,0.98,"thin flexible strip of cellulose coated with a photographic emulsion, used to make negatives and transparencies",0.02,1.00,0.98,,
FINE,P,95,okay,0.42,money exacted as a penalty,0.20,0.62,0.51,,
FINGERS,P,192,any of the digits of the hand,0.94,something that resembles a finger in shape,0.06,1.00,0.94,,
FISH,P,96,cold-blooded aquatic vertebrates ,0.79,flesh of fish used as food,0.21,1.00,0.74,,
FIT,H,93,in good health/shape,0.96,sudden spell of emotion,0.04,1.00,0.96,,
FLING,P,92,"period or occasion of unrestrained, impulsive, or extravagant behavior",0.56,"to throw, esp. with force or abandon",0.44,1.00,0.20,,
FLOOR,P,96,lower surface of a room,0.80,a story of a building,0.20,1.00,0.76,,
FLY,H,96,to move through the air ,0.56,"insect, esp. the housefly",0.44,1.00,0.22,,
FOOT,P,96,part of the leg below the ankle joint ,0.88,unit of length,0.12,1.00,0.86,,
FOOTBALL,P,96,game played with a round or oval ball,0.94,the ball used in any of these games ,0.06,1.00,0.94,,
FORD,*,95,car,0.82,automobile brand/manufacturer/corporation,0.17,0.99,0.80,P,Company name is not listed in WS dictionary
FORK,P,93,metal implement used for lifting food to the mouth ,0.94,division of a road/river into two or more branches,0.06,1.00,0.94,,
FORTUNE,P,95,a person's destiny,0.66,great amount of wealth,0.34,1.00,0.48,,
FORWARD,P,92,directed or moving ahead,0.96,send forward or pass on to an ultimate destination ,0.04,1.00,0.96,,
FRENCH,P,96,"relating to, denoting, or characteristic of France, the French",0.90,language,0.10,1.00,0.88,,
FUNCTION,P,92,math relation between two sets,0.54,work properly,0.41,0.95,0.24,,
FUR,P,94,dense coat of fine silky hairs on such mammals,0.71,"garment made of fur, such as a coat or stole",0.29,1.00,0.59,,
GAG,H,95,retch or cause to retch,0.77,a joke or humorous story,0.23,1.00,0.69,,
GAME,P,93,"contest with rules, the result being determined by skill, strength, or chance",0.56,equipment needed for playing certain games,0.44,1.00,0.22,,
GAS,P,95,gasoline,0.87,flatulence,0.08,0.95,0.91,,
GATE,P,96,a movable barrier in a fence or wall,0.64,an opening to allow passage into or out of an enclosed place,0.36,1.00,0.44,,
GEAR,P,92,a toothed wheel that engages with another toothed wheel or with a rack in order to change the speed or direction of transmitted motion,0.51,"equipment and supplies for a particular operation, sport,",0.49,1.00,0.02,,
GERMAN,H,93,people/culture,0.67,language,0.33,1.00,0.50,P,2nd WS Homonym def is obscure (having same parents)
GLARE,H,93,stare angrily,0.67,dazzling light or brilliance,0.33,1.00,0.50,,
GLASSES,H,189,a pair of lenses for correcting faulty vision,0.94,drinking glasses,0.06,1.00,0.94,,plural of glass vs. eyeglasses
GOAL,P,96,aim or object towards which an endeavor is directed,0.55,"net, basket, etc., into or over which players try to propel the ball, puck, etc., to score",0.45,1.00,0.17,,
GOLD,P,93,dense inert bright yellow element/metal,0.91,deep yellow color,0.09,1.00,0.90,,
GRACE,P,93,"elegance and beauty of movement, form, expression, or proportion",0.59,short prayer,0.33,0.92,0.45,,
GRAIN,P,94,"small hard seed like fruit of a grass, esp. a cereal plant",0.90,"small hard particle, e.g., sand",0.10,1.00,0.88,,
GRAVE,H,96,place for the burial of a corpse,0.86,serious and solemn ,0.14,1.00,0.84,,
GROWTH,P,93,process or act of growing,0.62,something grown or growing,0.38,1.00,0.39,,
GUIDE,P,94,"a person, animal, or thing that guides",0.74, a book (map) that instructs or explains,0.26,1.00,0.64,,
HAIL,H,94,small pellets of ice falling from cumulonimbus clouds,0.67,greet/respect/honor,0.31,0.98,0.54,,
HAIR,P,94,collective hairs,0.94,single hair,0.06,1.00,0.94,,
HALL,P,93,large building or room,0.66,corridor,0.18,0.84,0.73,,
HAND,P,94,"part of the body at the end of the arm, consisting of a thumb, four fingers, and a palm",1.00,cards dealt to one or all players,0.00,1.00,1.00,,
HANG,P,93," to fasten or be fastened from above, esp. by a cord, chain, etc.; suspend",0.59,suspend or be suspended by the neck until dead,0.27,0.86,0.55,,
HARD,P,95,firm or rigid,0.77,difficult,0.23,1.00,0.71,,
HAWAII,P,191,island,0.89,US state,0.11,1.00,0.88,,
HAZE,H,90,reduced visibility in the air,0.44,subject (fellow students) to ridicule or abuse,0.33,0.77,0.24,,
HEART,P,191,muscular organ in vertebrates whose contractions propel the blood through the circulatory system,0.63,"representation of the heart, having two rounded lobes at the top meeting in a point at the bottom",0.25,0.88,0.60,,
HEMINGWAY,P,93,novelist/author,0.64,"Hemingway's writing: books, novels, literature",0.36,1.00,0.44,,
HIP-HOP,P,94,music,0.64,dance,0.36,1.00,0.43,,
HIROSHIMA,P,187,site of first atomic bomb to be used in warfare,0.63,city in Japan,0.37,1.00,0.42,,
HOLLYWOOD,P,94,the American film industry,0.68,suburb of Los Angeles,0.32,1.00,0.53,,
HONDA,*,93,car,0.83,automobile brand/manufacturer/corporation,0.17,1.00,0.79,P,Car brand name is not listed in WS dictionary
HONEY,P,96,"sweet, sticky, yellowish substance that is made by bees",0.95,You call someone honey as a sign of affection,0.05,1.00,0.94,,
HOOD,P,96,loose head covering,0.54,short for neighborhood,0.32,0.86,0.41,,
HORN,P,94,musical instrument,0.38,device on an automobile for making a warning noise,0.32,0.70,0.15,,
HORSESHOES,P,93,U-shaped plate nailed to underside of horse's hoof,0.70,outdoor game,0.20,0.90,0.71,,
HOSPITAL,P,94,medical institution,0.50,"health facility, building",0.50,1.00,0.01,,
HUSKY,H,95,Eskimo dog,0.78,muscular and heavily built,0.14,0.92,0.82,,
IMPRESSION,P,93,"feeling, belief, notion, opinion",0.74,imitation,0.14,0.88,0.82,,
INTEREST,P,95,a sense of concern with and curiosity about someone or something,0.86,a fixed charge for borrowing money,0.14,1.00,0.83,,
INTRODUCTION,P,93,"a preliminary part, as of a book, speech",0.46,presentation of one person to another or others,0.40,0.87,0.12,,
IRAQ,P,93,Gulf War,0.67,Persian gulf country,0.33,1.00,0.51,,
IRON,P,189,metallic element,0.68,home appliance used to smooth cloth,0.32,1.00,0.52,,
ISSUE,P,191,important question that is in dispute and must be settled,0.69,one of a series published periodically,0.31,1.00,0.54,,
